product_name,current_price,price,percent_discount,rating,link,brand_id,series,genre_name
Asus Vivobook Pro 15 OLED K6502VU i9 13900H (MA090W),38.690.000₫,41.990.000₫,-7%,,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-k6502vu-i9-ma090w,02,VivoBook Pro OLED,laptop
Asus Vivobook Pro 15 OLED K6502Z i5 12450H (MA025W),22.690.000₫,30.990.000₫,-26%,14,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-k6502z-i5-ma025w,02,VivoBook Pro OLED,laptop
Asus ExpertBook B5402CB i5 1240P (KI0353W),19.490.000₫,26.990.000₫,-27%,13,https://www.thegioididong.com/laptop/asus-expertbook-b5402cb-i5-ki0353w,02,ExpertBook,laptop
Lenovo Ideapad 3 15ITL6 i5 1155G7 (82H803RRVN),11.990.000₫,14.490.000₫,-17%,18,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i5-82h803rrvn,03,IdeaPad,laptop
Lenovo Ideapad 3 15ITL6 i3 1115G4 (82H803SGVN),7.490.000₫,10.490.000₫,-28%,13,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i3-82h803sgvn,03,IdeaPad,laptop
Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U (82XS002KVN),14.990.000₫,17.990.000₫,-16%,14,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-light-14abr8-r5-82xs002kvn,03,IdeaPad,laptop
Lenovo Ideapad 3 15ITL6 i5 1155G7 (82H803CVVN),11.490.000₫,14.490.000₫,-20%,32,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i5-82h803cvvn,03,IdeaPad,laptop
Lenovo Ideapad 3 15IAU7 i3 1215U (82RK001MVN),9.990.000₫,14.690.000₫,,,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk001mvn,03,IdeaPad,laptop
Lenovo IdeaPad 3 15ITL6 i7 1165G7 (82H803CUVN),13.990.000₫,16.490.000₫,-15%,8,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i7-82h803cuvn,03,IdeaPad,laptop
Lenovo Ideapad 3 15ITL6 i3 1115G4 (82H803SFVN),8.990.000₫,11.290.000₫,-20%,6,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i3-82h803sfvn,03,IdeaPad,laptop
Lenovo IdeaPad 1 15AMN7 R5 7520U (82VG0061VN),8.990.000₫,12.690.000₫,-29%,45,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15amn7-r5-82vg0061vn,03,IdeaPad,laptop
Lenovo Ideapad 3 15IAU7 i5 1235U (82RK001PVN),10.990.000₫,17.990.000₫,-38%,31,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i5-82rk001pvn,03,IdeaPad,laptop
Lenovo Ideapad 3 15IAU7 i3 1215U (82RK005LVN),9.490.000₫,13.890.000₫,,,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk005lvn,03,IdeaPad,laptop
Lenovo Ideapad 3 14ABA7 R5 5625U (82RM003WVN),9.990.000₫,14.890.000₫,-32%,11,https://www.thegioididong.com/laptop/lenovo-ideapad-3-14aba7-r5-82rm003wvn,03,IdeaPad,laptop
Lenovo Ideapad 5 15IAL7 i5 1235U (82SF005HVN),13.990.000₫,19.490.000₫,-28%,18,https://www.thegioididong.com/laptop/lenovo-ideapad-5-15ial7-i5-82sf005hvn,03,IdeaPad,laptop
